"Step","drqv2/run4 - train/score","drqv2/run4 - train/score__MIN","drqv2/run4 - train/score__MAX","drqv2/run3 - train/score","drqv2/run3 - train/score__MIN","drqv2/run3 - train/score__MAX","drqv2/run2 - train/score","drqv2/run2 - train/score__MIN","drqv2/run2 - train/score__MAX","drqv2/run1 - train/score","drqv2/run1 - train/score__MIN","drqv2/run1 - train/score__MAX","drqv2/run0 - train/score","drqv2/run0 - train/score__MIN","drqv2/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/alt_blue/run0 - train/score__MAX"
"20","-73.7414321899414","-73.7414321899414","-73.7414321899414","-95.96137237548828","-95.96137237548828","-95.96137237548828","-91.76432800292969","-91.76432800292969","-91.76432800292969","-73.7414321899414","-73.7414321899414","-73.7414321899414","-93.83824920654297","-93.83824920654297","-93.83824920654297","","","","","","","","","","","","","","",""
"21","-94.99542236328125","-94.99542236328125","-94.99542236328125","-93.93614196777344","-93.93614196777344","-93.93614196777344","-95.25286865234375","-95.25286865234375","-95.25286865234375","-94.99542236328125","-94.99542236328125","-94.99542236328125","-92.34001159667969","-92.34001159667969","-92.34001159667969","-64.85994318127632","-64.85994318127632","-64.85994318127632","-44.21937644481659","-44.21937644481659","-44.21937644481659","-80.19133327901363","-80.19133327901363","-80.19133327901363","-10.737049115356058","-10.737049115356058","-10.737049115356058","-80.24505442380905","-80.24505442380905","-80.24505442380905"
"22","-84.49034118652344","-84.49034118652344","-84.49034118652344","-94.98611450195312","-94.98611450195312","-94.98611450195312","-96.58229064941406","-96.58229064941406","-96.58229064941406","-84.49034118652344","-84.49034118652344","-84.49034118652344","-92.3113021850586","-92.3113021850586","-92.3113021850586","","","","","","","","","","-84.09585824608803","-84.09585824608803","-84.09585824608803","","",""
"23","-91.4800033569336","-91.4800033569336","-91.4800033569336","-95.4916000366211","-95.4916000366211","-95.4916000366211","-92.84919738769531","-92.84919738769531","-92.84919738769531","-91.4800033569336","-91.4800033569336","-91.4800033569336","-97.52310180664062","-97.52310180664062","-97.52310180664062","-36.28494694456458","-36.28494694456458","-36.28494694456458","-92.99883289635181","-92.99883289635181","-92.99883289635181","-93.55691921710968","-93.55691921710968","-93.55691921710968","","","","-89.65567189455032","-89.65567189455032","-89.65567189455032"
"24","-95.266845703125","-95.266845703125","-95.266845703125","-95.66458129882812","-95.66458129882812","-95.66458129882812","-82.73309326171875","-82.73309326171875","-82.73309326171875","-95.266845703125","-95.266845703125","-95.266845703125","-94.82386016845703","-94.82386016845703","-94.82386016845703","-33.558183550834656","-33.558183550834656","-33.558183550834656","-75.73479107022285","-75.73479107022285","-75.73479107022285","-79.72568545443937","-79.72568545443937","-79.72568545443937","-88.16058659553528","-88.16058659553528","-88.16058659553528","-67.82532844692469","-67.82532844692469","-67.82532844692469"
"25","-90.6658935546875","-90.6658935546875","-90.6658935546875","-95.49117279052734","-95.49117279052734","-95.49117279052734","-93.798095703125","-93.798095703125","-93.798095703125","-90.6658935546875","-90.6658935546875","-90.6658935546875","-88.31692504882812","-88.31692504882812","-88.31692504882812","-83.51855839788914","-83.51855839788914","-83.51855839788914","-87.51298578083515","-87.51298578083515","-87.51298578083515","-91.30952614545822","-91.30952614545822","-91.30952614545822","-85.01128435134888","-85.01128435134888","-85.01128435134888","-71.27488243579865","-71.27488243579865","-71.27488243579865"
"26","-95.55948638916016","-95.55948638916016","-95.55948638916016","-93.54021453857422","-93.54021453857422","-93.54021453857422","-78.88005828857422","-78.88005828857422","-78.88005828857422","-95.55948638916016","-95.55948638916016","-95.55948638916016","-37.90393829345703","-37.90393829345703","-37.90393829345703","-97.30353635549545","-97.30353635549545","-97.30353635549545","-86.37204075604677","-86.37204075604677","-86.37204075604677","-93.64793863892555","-93.64793863892555","-93.64793863892555","-94.58386963605881","-94.58386963605881","-94.58386963605881","-83.14361047744751","-83.14361047744751","-83.14361047744751"
"27","-83.71421813964844","-83.71421813964844","-83.71421813964844","-92.47869110107422","-92.47869110107422","-92.47869110107422","-93.88567352294922","-93.88567352294922","-93.88567352294922","-83.71421813964844","-83.71421813964844","-83.71421813964844","-95.5545425415039","-95.5545425415039","-95.5545425415039","-87.17431691288948","-87.17431691288948","-87.17431691288948","-92.75490033626556","-92.75490033626556","-92.75490033626556","-88.70008662343025","-88.70008662343025","-88.70008662343025","-10.036192566156387","-10.036192566156387","-10.036192566156387","-80.2950922679156","-80.2950922679156","-80.2950922679156"
"28","-93.98869323730469","-93.98869323730469","-93.98869323730469","-96.49455261230469","-96.49455261230469","-96.49455261230469","-91.82189178466797","-91.82189178466797","-91.82189178466797","-93.98869323730469","-93.98869323730469","-93.98869323730469","-93.439453125","-93.439453125","-93.439453125","-70.34598159790039","-70.34598159790039","-70.34598159790039","-82.31286665052176","-82.31286665052176","-82.31286665052176","-92.85328280925751","-92.85328280925751","-92.85328280925751","20.93252832815051","20.93252832815051","20.93252832815051","-89.56547649204731","-89.56547649204731","-89.56547649204731"
"29","-82.54145812988281","-82.54145812988281","-82.54145812988281","-88.22746276855469","-88.22746276855469","-88.22746276855469","-30.86014175415039","-30.86014175415039","-30.86014175415039","-82.54145812988281","-82.54145812988281","-82.54145812988281","44.939029693603516","44.939029693603516","44.939029693603516","-70.9568181335926","-70.9568181335926","-70.9568181335926","-90.57152730226517","-90.57152730226517","-90.57152730226517","-91.13787990808487","-91.13787990808487","-91.13787990808487","-55.54406781750731","-55.54406781750731","-55.54406781750731","-93.47995269298553","-93.47995269298553","-93.47995269298553"
"30","-93.49283599853516","-93.49283599853516","-93.49283599853516","48.76192855834961","48.76192855834961","48.76192855834961","0.3560309410095215","0.3560309410095215","0.3560309410095215","-93.49283599853516","-93.49283599853516","-93.49283599853516","-88.99519348144531","-88.99519348144531","-88.99519348144531","-77.81579673290253","-77.81579673290253","-77.81579673290253","-95.57450607419014","-95.57450607419014","-95.57450607419014","-77.61572554695886","-77.61572554695886","-77.61572554695886","27.763540527783334","27.763540527783334","27.763540527783334","-92.8764825463295","-92.8764825463295","-92.8764825463295"
"31","-30.966835021972656","-30.966835021972656","-30.966835021972656","-95.55136108398438","-95.55136108398438","-95.55136108398438","-90.3543930053711","-90.3543930053711","-90.3543930053711","-29.4310245513916","-29.4310245513916","-29.4310245513916","-81.12882232666016","-81.12882232666016","-81.12882232666016","-83.25574645213783","-83.25574645213783","-83.25574645213783","-93.48127615451813","-93.48127615451813","-93.48127615451813","-89.5551221370697","-89.5551221370697","-89.5551221370697","-78.4313455298543","-78.4313455298543","-78.4313455298543","-85.03304263949394","-85.03304263949394","-85.03304263949394"
"32","-89.55493927001953","-89.55493927001953","-89.55493927001953","-47.18716812133789","-47.18716812133789","-47.18716812133789","-37.08668899536133","-37.08668899536133","-37.08668899536133","-82.41184997558594","-82.41184997558594","-82.41184997558594","-77.97373962402344","-77.97373962402344","-77.97373962402344","-80.32973668724298","-80.32973668724298","-80.32973668724298","-96.49007320404053","-96.49007320404053","-96.49007320404053","-90.09688760340214","-90.09688760340214","-90.09688760340214","-68.70146489143372","-68.70146489143372","-68.70146489143372","-88.12201555073261","-88.12201555073261","-88.12201555073261"
"33","-85.97347259521484","-85.97347259521484","-85.97347259521484","-54.89293670654297","-54.89293670654297","-54.89293670654297","-89.57233428955078","-89.57233428955078","-89.57233428955078","-16.330825805664062","-16.330825805664062","-16.330825805664062","25.995349884033203","25.995349884033203","25.995349884033203","-70.1199562214315","-70.1199562214315","-70.1199562214315","-80.84453570842743","-80.84453570842743","-80.84453570842743","-82.10371468216181","-82.10371468216181","-82.10371468216181","-41.59873563749716","-41.59873563749716","-41.59873563749716","-89.4266698025167","-89.4266698025167","-89.4266698025167"
"34","-77.5512924194336","-77.5512924194336","-77.5512924194336","19.62446403503418","19.62446403503418","19.62446403503418","4.576443195343018","4.576443195343018","4.576443195343018","-51.643123626708984","-51.643123626708984","-51.643123626708984","13.392882347106934","13.392882347106934","13.392882347106934","-73.43809144943953","-73.43809144943953","-73.43809144943953","-95.39413398504257","-95.39413398504257","-95.39413398504257","-93.90285271406174","-93.90285271406174","-93.90285271406174","-21.025389328598976","-21.025389328598976","-21.025389328598976","-90.45628839731216","-90.45628839731216","-90.45628839731216"
"35","-21.929359436035156","-21.929359436035156","-21.929359436035156","-87.68333435058594","-87.68333435058594","-87.68333435058594","6.126189231872559","6.126189231872559","6.126189231872559","-83.29076385498047","-83.29076385498047","-83.29076385498047","23.164398193359375","23.164398193359375","23.164398193359375","-90.6764584183693","-90.6764584183693","-90.6764584183693","-73.34032535552979","-73.34032535552979","-73.34032535552979","-92.06181505322456","-92.06181505322456","-92.06181505322456","-71.49938281625509","-71.49938281625509","-71.49938281625509","-93.83153226971626","-93.83153226971626","-93.83153226971626"
"36","-19.37053680419922","-19.37053680419922","-19.37053680419922","-67.39726257324219","-67.39726257324219","-67.39726257324219","17.717370986938477","17.717370986938477","17.717370986938477","-80.28620147705078","-80.28620147705078","-80.28620147705078","-85.28941345214844","-85.28941345214844","-85.28941345214844","-64.53654243331403","-64.53654243331403","-64.53654243331403","-95.90028828382492","-95.90028828382492","-95.90028828382492","-88.39292264407868","-88.39292264407868","-88.39292264407868","-59.920749351382256","-59.920749351382256","-59.920749351382256","-76.07357583940029","-76.07357583940029","-76.07357583940029"
