"Step","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/rotation/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/2sounds/run0 - train/score__MAX"
"31","-87.84538489580154","-87.84538489580154","-87.84538489580154","-89.61894050985575","-89.61894050985575","-89.61894050985575","-93.56745122373104","-93.56745122373104","-93.56745122373104","-90.11008766293526","-90.11008766293526","-90.11008766293526","-77.31880997121334","-77.31880997121334","-77.31880997121334","-87.99455459415913","-87.99455459415913","-87.99455459415913","-80.19164938852191","-80.19164938852191","-80.19164938852191","-96.06070172786713","-96.06070172786713","-96.06070172786713","-95.43670389056206","-95.43670389056206","-95.43670389056206","-95.71005153656006","-95.71005153656006","-95.71005153656006"
"32","-63.47174821794033","-63.47174821794033","-63.47174821794033","-96.0216515660286","-96.0216515660286","-96.0216515660286","-91.69114730507135","-91.69114730507135","-91.69114730507135","-87.86533492803574","-87.86533492803574","-87.86533492803574","-92.05630037933588","-92.05630037933588","-92.05630037933588","-79.6707215141505","-79.6707215141505","-79.6707215141505","-95.10628546774387","-95.10628546774387","-95.10628546774387","-84.92211739299819","-84.92211739299819","-84.92211739299819","-80.6467017531395","-80.6467017531395","-80.6467017531395","-99.74383503198624","-99.74383503198624","-99.74383503198624"
"33","-67.13573418557644","-67.13573418557644","-67.13573418557644","-65.84462125599384","-65.84462125599384","-65.84462125599384","-94.01970417797565","-94.01970417797565","-94.01970417797565","-87.4858120828867","-87.4858120828867","-87.4858120828867","-97.72421264648438","-97.72421264648438","-97.72421264648438","-86.7857070080936","-86.7857070080936","-86.7857070080936","-85.46548517979681","-85.46548517979681","-85.46548517979681","-85.21302558481693","-85.21302558481693","-85.21302558481693","-92.77155548334122","-92.77155548334122","-92.77155548334122","-90.94127503037453","-90.94127503037453","-90.94127503037453"
"34","-50.437459386885166","-50.437459386885166","-50.437459386885166","-97.313696205616","-97.313696205616","-97.313696205616","-90.13042479753494","-90.13042479753494","-90.13042479753494","-89.98809742927551","-89.98809742927551","-89.98809742927551","-96.54347598552704","-96.54347598552704","-96.54347598552704","-96.91622614860535","-96.91622614860535","-96.91622614860535","-95.13128373026848","-95.13128373026848","-95.13128373026848","-93.57800019253045","-93.57800019253045","-93.57800019253045","-82.89329891651869","-82.89329891651869","-82.89329891651869","-94.63096609711647","-94.63096609711647","-94.63096609711647"
"35","-55.29777029156685","-55.29777029156685","-55.29777029156685","-95.65471524000168","-95.65471524000168","-95.65471524000168","-96.33044933527708","-96.33044933527708","-96.33044933527708","-92.38626223802567","-92.38626223802567","-92.38626223802567","-80.73426357656717","-80.73426357656717","-80.73426357656717","-70.621506251744","-70.621506251744","-70.621506251744","-95.49652260541916","-95.49652260541916","-95.49652260541916","-94.78440868854523","-94.78440868854523","-94.78440868854523","-84.3602000772953","-84.3602000772953","-84.3602000772953","-87.40328133106232","-87.40328133106232","-87.40328133106232"
"36","-39.31938959349645","-39.31938959349645","-39.31938959349645","-87.24328484013677","-87.24328484013677","-87.24328484013677","-94.19903261214495","-94.19903261214495","-94.19903261214495","-91.10428731143475","-91.10428731143475","-91.10428731143475","-94.5086624622345","-94.5086624622345","-94.5086624622345","-86.50521732866764","-86.50521732866764","-86.50521732866764","-95.95123276859522","-95.95123276859522","-95.95123276859522","-92.51503851264715","-92.51503851264715","-92.51503851264715","-91.15488696098328","-91.15488696098328","-91.15488696098328","-93.30555932968855","-93.30555932968855","-93.30555932968855"
"37","-70.56651949882507","-70.56651949882507","-70.56651949882507","-94.71721315383911","-94.71721315383911","-94.71721315383911","-96.48736163973808","-96.48736163973808","-96.48736163973808","-96.48976078629494","-96.48976078629494","-96.48976078629494","-95.05031603574753","-95.05031603574753","-95.05031603574753","-88.28132400749018","-88.28132400749018","-88.28132400749018","-97.3376625207602","-97.3376625207602","-97.3376625207602","-91.06453958153725","-91.06453958153725","-91.06453958153725","-96.42792254686356","-96.42792254686356","-96.42792254686356","-94.79292693734169","-94.79292693734169","-94.79292693734169"
"38","-53.23184102028608","-53.23184102028608","-53.23184102028608","-94.55686640739441","-94.55686640739441","-94.55686640739441","-93.12399858236313","-93.12399858236313","-93.12399858236313","-87.5452273376286","-87.5452273376286","-87.5452273376286","-93.2326075732708","-93.2326075732708","-93.2326075732708","-97.25472486019135","-97.25472486019135","-97.25472486019135","-88.64739125035703","-88.64739125035703","-88.64739125035703","-86.74686148017645","-86.74686148017645","-86.74686148017645","-95.7724241912365","-95.7724241912365","-95.7724241912365","-97.15896794945002","-97.15896794945002","-97.15896794945002"
"39","-73.60984665155411","-73.60984665155411","-73.60984665155411","-81.95609790086746","-81.95609790086746","-81.95609790086746","-93.9589472413063","-93.9589472413063","-93.9589472413063","-75.92021803557873","-75.92021803557873","-75.92021803557873","-91.48422312736511","-91.48422312736511","-91.48422312736511","-82.41655360162258","-82.41655360162258","-82.41655360162258","-84.11476144799963","-84.11476144799963","-84.11476144799963","-91.47833168506622","-91.47833168506622","-91.47833168506622","-85.74554376583546","-85.74554376583546","-85.74554376583546","-86.67706288397312","-86.67706288397312","-86.67706288397312"
"40","-83.56663189828396","-83.56663189828396","-83.56663189828396","-94.17701143026352","-94.17701143026352","-94.17701143026352","-82.32782530412078","-82.32782530412078","-82.32782530412078","-85.25616952776909","-85.25616952776909","-85.25616952776909","-94.85538849234581","-94.85538849234581","-94.85538849234581","-92.91027101874352","-92.91027101874352","-92.91027101874352","-91.07133588194847","-91.07133588194847","-91.07133588194847","-91.72534608840942","-91.72534608840942","-91.72534608840942","-76.77777971327305","-76.77777971327305","-76.77777971327305","-95.43831391818821","-95.43831391818821","-95.43831391818821"
