"Step","dreamerv3/small/ih_15/room0/run4 - train/score","dreamerv3/small/ih_15/room0/run4 - train/score__MIN","dreamerv3/small/ih_15/room0/run4 - train/score__MAX","dreamerv3/small/ih_15/room0/run3 - train/score","dreamerv3/small/ih_15/room0/run3 - train/score__MIN","dreamerv3/small/ih_15/room0/run3 - train/score__MAX","dreamerv3/small/ih_15/room0/run2 - train/score","dreamerv3/small/ih_15/room0/run2 - train/score__MIN","dreamerv3/small/ih_15/room0/run2 - train/score__MAX","dreamerv3/small/ih_15/room0/run1 - train/score","dreamerv3/small/ih_15/room0/run1 - train/score__MIN","dreamerv3/small/ih_15/room0/run1 - train/score__MAX","dreamerv3/small/ih_15/room0/run0 - train/score","dreamerv3/small/ih_15/room0/run0 - train/score__MIN","dreamerv3/small/ih_15/room0/run0 - train/score__MAX","dreamerv3/medium/ih_15/room0/run1 - train/score","dreamerv3/medium/ih_15/room0/run1 - train/score__MIN","dreamerv3/medium/ih_15/room0/run1 - train/score__MAX","dreamerv3/medium/ih_15/room0/run4 - train/score","dreamerv3/medium/ih_15/room0/run4 - train/score__MIN","dreamerv3/medium/ih_15/room0/run4 - train/score__MAX","dreamerv3/medium/ih_15/room0/run3 - train/score","dreamerv3/medium/ih_15/room0/run3 - train/score__MIN","dreamerv3/medium/ih_15/room0/run3 - train/score__MAX","dreamerv3/medium/ih_15/room0/run2 - train/score","dreamerv3/medium/ih_15/room0/run2 - train/score__MIN","dreamerv3/medium/ih_15/room0/run2 - train/score__MAX","dreamerv3/medium/ih_15/room0/run0 - train/score","dreamerv3/medium/ih_15/room0/run0 - train/score__MIN","dreamerv3/medium/ih_15/room0/run0 - train/score__MAX"
"32","-86.72070065140724","-86.72070065140724","-86.72070065140724","-84.8093762807548","-84.8093762807548","-84.8093762807548","-75.52748566865921","-75.52748566865921","-75.52748566865921","-95.26639211177826","-95.26639211177826","-95.26639211177826","-93.15346479415894","-93.15346479415894","-93.15346479415894","-85.22457402944565","-85.22457402944565","-85.22457402944565","-87.91872295737267","-87.91872295737267","-87.91872295737267","-90.27177655696869","-90.27177655696869","-90.27177655696869","-94.90055960416794","-94.90055960416794","-94.90055960416794","-92.95074033737183","-92.95074033737183","-92.95074033737183"
"33","-79.00429236888885","-79.00429236888885","-79.00429236888885","-91.38877656310797","-91.38877656310797","-91.38877656310797","-89.5032856464386","-89.5032856464386","-89.5032856464386","-88.2516217008233","-88.2516217008233","-88.2516217008233","-91.8279957473278","-91.8279957473278","-91.8279957473278","-81.41037204861641","-81.41037204861641","-81.41037204861641","-53.842125369701535","-53.842125369701535","-53.842125369701535","-88.13064521551132","-88.13064521551132","-88.13064521551132","-89.8440090417862","-89.8440090417862","-89.8440090417862","-93.4440428763628","-93.4440428763628","-93.4440428763628"
"34","-82.96330735087395","-82.96330735087395","-82.96330735087395","-94.58067560195923","-94.58067560195923","-94.58067560195923","-89.97156095504761","-89.97156095504761","-89.97156095504761","-92.98660781979561","-92.98660781979561","-92.98660781979561","-74.43979316949844","-74.43979316949844","-74.43979316949844","-70.75980538129807","-70.75980538129807","-70.75980538129807","-62.55147112905979","-62.55147112905979","-62.55147112905979","-90.45339752733707","-90.45339752733707","-90.45339752733707","-91.6315277935937","-91.6315277935937","-91.6315277935937","-96.15148079395294","-96.15148079395294","-96.15148079395294"
"35","-81.77817805856466","-81.77817805856466","-81.77817805856466","-80.98336394131184","-80.98336394131184","-80.98336394131184","-83.90001399815083","-83.90001399815083","-83.90001399815083","-93.56484143435955","-93.56484143435955","-93.56484143435955","-94.94357050210238","-94.94357050210238","-94.94357050210238","-89.62323622405529","-89.62323622405529","-89.62323622405529","-90.7740675508976","-90.7740675508976","-90.7740675508976","-93.84232926368713","-93.84232926368713","-93.84232926368713","-93.49581354856491","-93.49581354856491","-93.49581354856491","-96.1839679479599","-96.1839679479599","-96.1839679479599"
"36","-64.37438821420074","-64.37438821420074","-64.37438821420074","-94.72398430109024","-94.72398430109024","-94.72398430109024","-71.04143014550209","-71.04143014550209","-71.04143014550209","-85.28368083480746","-85.28368083480746","-85.28368083480746","-88.64354002475739","-88.64354002475739","-88.64354002475739","-88.82625618949533","-88.82625618949533","-88.82625618949533","-91.74334007501602","-91.74334007501602","-91.74334007501602","-91.16795593500137","-91.16795593500137","-91.16795593500137","-89.89273619651794","-89.89273619651794","-89.89273619651794","-88.47414620220661","-88.47414620220661","-88.47414620220661"
"37","-91.46392294764519","-91.46392294764519","-91.46392294764519","-87.02484567463398","-87.02484567463398","-87.02484567463398","-87.97097411751747","-87.97097411751747","-87.97097411751747","-93.71414947509766","-93.71414947509766","-93.71414947509766","-89.70023655891418","-89.70023655891418","-89.70023655891418","-80.10080381552689","-80.10080381552689","-80.10080381552689","-68.93315233290195","-68.93315233290195","-68.93315233290195","-79.31205755472183","-79.31205755472183","-79.31205755472183","-93.02205008268356","-93.02205008268356","-93.02205008268356","-91.26031890511513","-91.26031890511513","-91.26031890511513"
"38","-77.20023973286152","-77.20023973286152","-77.20023973286152","-93.70043975114822","-93.70043975114822","-93.70043975114822","-93.89202427864075","-93.89202427864075","-93.89202427864075","-76.82521628309041","-76.82521628309041","-76.82521628309041","-85.14179490506649","-85.14179490506649","-85.14179490506649","-84.63256534934044","-84.63256534934044","-84.63256534934044","-88.84931693226099","-88.84931693226099","-88.84931693226099","-89.41230791807175","-89.41230791807175","-89.41230791807175","-95.51486317813396","-95.51486317813396","-95.51486317813396","-87.38267824053764","-87.38267824053764","-87.38267824053764"
"39","-86.98192554712296","-86.98192554712296","-86.98192554712296","-91.64494639635086","-91.64494639635086","-91.64494639635086","-86.14983430504799","-86.14983430504799","-86.14983430504799","-93.24083685874939","-93.24083685874939","-93.24083685874939","-84.03613805770874","-84.03613805770874","-84.03613805770874","-67.966115295887","-67.966115295887","-67.966115295887","-94.17855060100555","-94.17855060100555","-94.17855060100555","-78.51476660370827","-78.51476660370827","-78.51476660370827","-62.73406499624252","-62.73406499624252","-62.73406499624252","-94.34818983078003","-94.34818983078003","-94.34818983078003"
"40","-78.7869977504015","-78.7869977504015","-78.7869977504015","-72.66753107309341","-72.66753107309341","-72.66753107309341","-83.11735796928406","-83.11735796928406","-83.11735796928406","-88.51707936823368","-88.51707936823368","-88.51707936823368","-81.2377691231668","-81.2377691231668","-81.2377691231668","-89.59101343154907","-89.59101343154907","-89.59101343154907","-82.57840260490775","-82.57840260490775","-82.57840260490775","-69.02987965941429","-69.02987965941429","-69.02987965941429","-91.6172727048397","-91.6172727048397","-91.6172727048397","-87.46210618317127","-87.46210618317127","-87.46210618317127"
"41","-79.39137161709368","-79.39137161709368","-79.39137161709368","-85.9020993411541","-85.9020993411541","-85.9020993411541","-75.26974543184042","-75.26974543184042","-75.26974543184042","-81.19824937358499","-81.19824937358499","-81.19824937358499","-90.45714950188994","-90.45714950188994","-90.45714950188994","-84.08374750614166","-84.08374750614166","-84.08374750614166","-88.17863073945045","-88.17863073945045","-88.17863073945045","-84.93429831415415","-84.93429831415415","-84.93429831415415","-85.60600762069225","-85.60600762069225","-85.60600762069225","-85.44164377450943","-85.44164377450943","-85.44164377450943"
